cluster_id,cluster_rank,threshold,threshold_token,cluster_size,cluster_edge_count,cluster_possible_edge_count,cluster_density,cluster_score_min,cluster_score_mean,cluster_score_max,cluster_markets,member_rank_within_cluster,member_degree,member_edge_score_sum,member_edge_score_mean,member_edge_score_max,strongest_neighbor_seller_uids,strongest_neighbor_scores,seller_uid,source_dataset,source_market_raw,source_seller_raw,alias_normalized,item_count,unique_title_count,unique_description_snippet_count,unique_category_count,contact_type_count,contact_token_count_total,top_category_preview,signature_title_preview,signature_description_preview,contact_preview
zh_target_strict_core_few_shot_labse_lr_l2_ratio_100pct_seed_20260320_thr_0800000_c0001,1,0.8,0800000,3,3,3,1.0,0.893481,0.954122,0.997548,中文暗网交易市场 || 茶马古道,1,2,1.968885,0.984443,0.997548,market_item.xlsx|茶马古道|seller_raw:/shop/399905 || market_item.xlsx|中文暗网交易市场|seller_raw:634642,0.997548 || 0.971337,market_item.xlsx|中文暗网交易市场|seller_raw:542584,market_item.xlsx,中文暗网交易市场,542584,542584,29,29,29,4,0,0,数据资源 || 虚拟物品 || 技术技能,出黑五类抖音粉丝号私人白号全类型账号长期可拿满足您的需求 || 茶商话术红包套路内含语音视频外币套路等等上百套最新话术 || 引流吸粉脚本做项目引流必备包含抖音快手等热门软件引流,本教程为2020年最新群排名技术，更新于10月21日，QQ群排名作为灰产行业的主要引流渠道，其中的规则说难不难，说简单也不简单，注重细节，把握每个关键之处便能做到全国前三，有接触灰产行业的朋友应该都了解过群排名这个行业 市场上请人做群，价格在200往上一个群，并且看词热度越高出价也就越高，热词500一个，但是学会本教程后，成本可削减近一半，并提高时间效率，缩短时间成本 || 2020年的时候，我在某深层暗网无意中进入了一个超自然学网站和某些情报交流网站，为我亲手下载下来的文件，一般英文的就是暗网挖的，但是也包...,
zh_target_strict_core_few_shot_labse_lr_l2_ratio_100pct_seed_20260320_thr_0800000_c0001,1,0.8,0800000,3,3,3,1.0,0.893481,0.954122,0.997548,中文暗网交易市场 || 茶马古道,2,2,1.891029,0.945514,0.997548,market_item.xlsx|中文暗网交易市场|seller_raw:542584 || market_item.xlsx|中文暗网交易市场|seller_raw:634642,0.997548 || 0.893481,market_item.xlsx|茶马古道|seller_raw:/shop/399905,market_item.xlsx,茶马古道,/shop/399905,/shop/399905,33,33,33,5,0,0,数据 || 虚拟 || 技术,【绝密档案】中国修仙光明会中世纪魔法古书近代外星人研究文件亚特兰蒂斯文明等机密 || 引流吸粉脚本—适合任意项目引流必备—包含抖音快手等热门软件引流 || 暗网最清晰——超清手持白纸身份证/资料三百五十条——可过各种认证,2019年的时候，我在某深层暗网无意中进入了一个超自然学网站和某些情报交流网站，为我亲手下载下来的文件，一般英文的就是暗网挖的，但是也包括一些文件和视频是表网找的，现在该网站已经关闭服务器，甚是可惜，大家可以一睹风采，内容绝对丰富，是猎奇爱好者及神秘学研究者的必备，不止51区，还有一些跟亚特兰蒂斯 宇宙文明 光明会 山海经 克鲁苏有关的东西 全世界有关神秘学的书籍，现象，拍下这份商品就对了，足足2G || 本项目是本团队2020年12月底实操出来的一套新型的色粉引流及变现的新玩法，项目实操性强，变现性强，转化...,
zh_target_strict_core_few_shot_labse_lr_l2_ratio_100pct_seed_20260320_thr_0800000_c0001,1,0.8,0800000,3,3,3,1.0,0.893481,0.954122,0.997548,中文暗网交易市场 || 茶马古道,3,2,1.864818,0.932409,0.971337,market_item.xlsx|中文暗网交易市场|seller_raw:542584 || market_item.xlsx|茶马古道|seller_raw:/shop/399905,0.971337 || 0.893481,market_item.xlsx|中文暗网交易市场|seller_raw:634642,market_item.xlsx,中文暗网交易市场,634642,634642,19,19,19,4,0,0,虚拟物品 || 影视色情 || 技术技能,1200部幼女萝莉精品视频资源最小只有几岁95都是幼幼 || 茶商话术红包套路内含语音视频外币套路等等上百套话术 || 火币币安运营商拦截数据7500条低价出自动发货,本教程为2021年最新群排名技术，真正的干货，和暗网哪些卖垃圾引流技术的不一样，所以别问为什么定价这么高，真心不高，因为技术是我实战测试出来的 QQ群排名作为灰产行业的主要引流渠道，其中的规则说难不难，说简单也不简单，注重细节，把握每个关键之处便能做到全国前三，有接触灰产行业的朋友应该都了解过群排名这个行业 市场上请人做群，价格在200往上一个群，并且看词热度越高出价也就越高，热词500一个，但是学会本教程后，成本可削减近一半，并提高时间效率，缩短时间成本 || 泄露数据 量大 包含19年5e微博查询信息 各...,
zh_target_strict_core_few_shot_labse_lr_l2_ratio_100pct_seed_20260320_thr_0800000_c0002,2,0.8,0800000,3,3,3,1.0,0.843259,0.909231,0.950003,茶马古道,1,2,1.884433,0.942217,0.950003,market_item.xlsx|茶马古道|seller_raw:/shop/463446 || market_item.xlsx|茶马古道|seller_raw:/shop/448945,0.950003 || 0.934431,market_item.xlsx|茶马古道|seller_raw:/shop/463004,market_item.xlsx,茶马古道,/shop/463004,/shop/463004,9,3,3,2,0,0,服务 || 担保私拍,专业黑客接单渗透入侵拿站shell，无套路全程茶马担保交易，欢迎电报@heiheiniu2021咨询 || 全国提供『私人女佣』『女孩丫鬟』 || 私拍！！！yikula1私拍！！！,需要预定的客户直接下单，流程是:客户预付一万刀定金~或者经过会员担保推荐~这边会提供客户一部分女孩资料库~客户挑好女孩~我方送货上门 预定好了，我们会给您一部分女孩的资料库，资料库不会多，十个以内【女孩的质量是非常优秀的，绝对可以让您不管带到哪种场合都会承托出您的品味与高贵的】，如果没中意的，这边会联系经济人根据客户的喜好，去所在地区寻找客户要求的女孩，一般一个月就能签约到合适的女孩，这种定制的要求，需要客户额外付给经纪人猎人一万刀的经费 || 我们只提供最美好的 女孩都是满16岁的，是合法生意，如果有的地区...,
zh_target_strict_core_few_shot_labse_lr_l2_ratio_100pct_seed_20260320_thr_0800000_c0002,2,0.8,0800000,3,3,3,1.0,0.843259,0.909231,0.950003,茶马古道,2,2,1.793262,0.896631,0.950003,market_item.xlsx|茶马古道|seller_raw:/shop/463004 || market_item.xlsx|茶马古道|seller_raw:/shop/448945,0.950003 || 0.843259,market_item.xlsx|茶马古道|seller_raw:/shop/463446,market_item.xlsx,茶马古道,/shop/463446,/shop/463446,5,5,5,4,1,1,四件套号卡 || 实物 || 技术,1万出四件，保三个月，金额保3万。国内可压人操作，需要联系TG@Sweet026 || 网赌透视黑客植入，牛牛，金花，棋牌类都可以看见底牌TG@Sweet026 || 全国可提供越南，柬埔寨，韩国，日本女优，丫鬟可联系TG@Sweet026,需要预定的客户直接下单，流程是:客户预付一万刀定金~或者经过会员担保推荐~这边会提供客户一部分女孩资料库~客户挑好女孩~我方送货上门 预定好了，我们会给您一部分女孩的资料库，资料库不会多，十个以内【女孩的质量是非常优秀的，绝对可以让您不管带到哪种场合都会承托出您的品味与高贵的】，如果没中意的，这边会联系经济人根据客户的喜好，去所在地区寻找客户要求的女孩，一般一个月就能签约到合适的女孩，这种定制的要求，需要客户额外付给经纪人猎人一万刀的经费 || 网赌透视黑客植入，牛牛，金花，棋牌类都可以看见底牌，不过风险有点...,telegram:sweet026
zh_target_strict_core_few_shot_labse_lr_l2_ratio_100pct_seed_20260320_thr_0800000_c0002,2,0.8,0800000,3,3,3,1.0,0.843259,0.909231,0.950003,茶马古道,3,2,1.77769,0.888845,0.934431,market_item.xlsx|茶马古道|seller_raw:/shop/463004 || market_item.xlsx|茶马古道|seller_raw:/shop/463446,0.934431 || 0.843259,market_item.xlsx|茶马古道|seller_raw:/shop/448945,market_item.xlsx,茶马古道,/shop/448945,/shop/448945,1,1,1,1,0,0,实物,出售丫鬟(私人佣人),需要预定的客户直接下单，流程是:客户预付一万刀定金~或者经过会员担保推荐~这边会提供客户一部分女孩资料库~客户挑好女孩~我方送货上门 预定好了，我们会给您一部分女孩的资料库，资料库不会多，十个以内【女孩的质量是非常优秀的，绝对可以让您不管带到哪种场合都会承托出您的品味与高贵的】，如果没中意的，这边会联系经济人根据客户的喜好，去所在地区寻找客户要求的女孩，一般一个月就能签约到合适的女孩，这种定制的要求，需要客户额外付给经纪人猎人一万刀的经费 || 地球最美好的事物，我们出一口价5万美刀 地球是贫瘠的，但是地球上...,
zh_target_strict_core_few_shot_labse_lr_l2_ratio_100pct_seed_20260320_thr_0800000_c0003,3,0.8,0800000,3,3,3,1.0,0.866926,0.885206,0.89656,中文暗网交易市场 || 茶马古道,1,2,1.763487,0.881743,0.89656,market_item.xlsx|茶马古道|seller_raw:/shop/408791 || market_item.xlsx|中文暗网交易市场|seller_raw:99981,0.896560 || 0.866926,market_item.xlsx|中文暗网交易市场|seller_raw:604051,market_item.xlsx,中文暗网交易市场,604051,604051,1,1,1,1,0,0,数据资源,全国车主数据可分省份下单自动发货,安徽40份 北京30份 福建35份 甘肃20份 广东60份 广西20份 贵州30份 海南5份 河北35份 河南40份 吉林25份 江苏60份 江西25份 辽宁40份 内蒙古20份 宁夏8份 青海6份 山东70份 山西30份 陕西35份 上海30份 四川40份 天津10份 新疆15份 云南35份 浙江55份 重庆30份 这是每个地区的打包价格 || 拍下自动发货，全部打包拍700份 ---------------------------------------------------------- 数据某些字段...,
zh_target_strict_core_few_shot_labse_lr_l2_ratio_100pct_seed_20260320_thr_0800000_c0003,3,0.8,0800000,3,3,3,1.0,0.866926,0.885206,0.89656,中文暗网交易市场 || 茶马古道,2,2,1.788691,0.894345,0.89656,market_item.xlsx|中文暗网交易市场|seller_raw:604051 || market_item.xlsx|中文暗网交易市场|seller_raw:99981,0.896560 || 0.892130,market_item.xlsx|茶马古道|seller_raw:/shop/408791,market_item.xlsx,茶马古道,/shop/408791,/shop/408791,2,2,1,1,0,0,数据,12年到17年全国车主信息.车管所. || 全国所有车辆数据车主,数据为自动发货全国的网盘30份 海南5份 河北35份 河南40份 吉林25份 江苏60份 江西25份 辽宁40份 内蒙古20份 宁夏8份 青海6份 山东70份 山西30份 陕西35份 上海30份 四川40份 天津10份 新疆15份 云南35份 浙江55份 重庆30份 这是每个地区的打包价格 || 需要哪个省就拍哪个省，每个省份的数量可看下图 ------------------------连接，下单后留言需要的地区， 这边会发送解压密码，谢谢合作 -------------------------------...,
zh_target_strict_core_few_shot_labse_lr_l2_ratio_100pct_seed_20260320_thr_0800000_c0003,3,0.8,0800000,3,3,3,1.0,0.866926,0.885206,0.89656,中文暗网交易市场 || 茶马古道,3,2,1.759057,0.879528,0.89213,market_item.xlsx|茶马古道|seller_raw:/shop/408791 || market_item.xlsx|中文暗网交易市场|seller_raw:604051,0.892130 || 0.866926,market_item.xlsx|中文暗网交易市场|seller_raw:99981,market_item.xlsx,中文暗网交易市场,99981,99981,1,1,1,1,0,0,数据资源,全国车主数据/可分省份下单 自动发货,安徽40份 北京30份 福建35份 甘肃20份 广东60份 广西20份 贵州30份 海南5份 河北35份 河南40份 吉林25份 江苏60份 江西25份 辽宁40份 内蒙古20份 宁夏8份 青海6份 山东70份 山西30份 陕西35份 上海30份 四川40份 天津10份 新疆15份 云南35份 浙江55份 重庆30份 这是每个地区的打包价格 || 拍下自动发货，全部打包拍700份 ---------------------------------------------------------- 数据某些字段...,
zh_target_strict_core_few_shot_labse_lr_l2_ratio_100pct_seed_20260320_thr_0800000_c0004,4,0.8,0800000,3,3,3,1.0,0.811324,0.839194,0.883334,中文暗网交易市场 || 茶马古道,1,2,1.694659,0.847329,0.883334,market_item.xlsx|茶马古道|seller_raw:/shop/430143 || market_item.xlsx|中文暗网交易市场|seller_raw:503330,0.883334 || 0.811324,market_item.xlsx|中文暗网交易市场|seller_raw:639133,market_item.xlsx,中文暗网交易市场,639133,639133,1,1,1,1,0,0,服务业务,老线回归一手个人户籍车辆档案查询24h在线,银行核查等==提供SFZ号(拍128份） 车辆轨迹==1200==出全国车辆抓拍卡口时间地点等==提供车牌号码（拍85份） 身份证复印件==150==出身份证高清照(扫描件)==提供SFZ号(拍10份） 三网手机机主信息==400==出机主信息==提供手机号(拍28份） 三网名下号码==300==出名下手机号==提供SFZ号(拍21份） 名下车辆==200==出名下登记车辆==提供SFZ号(拍15份） 顺丰地址==420==出收寄件信息==提供手机号(拍30份） 法人信息==350==出法人信息==提供公司名...,
