cluster_id,cluster_rank,threshold,threshold_token,cluster_size,cluster_edge_count,cluster_possible_edge_count,cluster_density,cluster_score_min,cluster_score_mean,cluster_score_max,cluster_markets,member_rank_within_cluster,member_degree,member_edge_score_sum,member_edge_score_mean,member_edge_score_max,strongest_neighbor_seller_uids,strongest_neighbor_scores,seller_uid,source_dataset,source_market_raw,source_seller_raw,alias_normalized,item_count,unique_title_count,unique_description_snippet_count,unique_category_count,contact_type_count,contact_token_count_total,top_category_preview,signature_title_preview,signature_description_preview,contact_preview
zh_target_strict_step15_v5_domain_balanced_public_noise_weighted_strong_phase4_seed_mean_thr_0900000_c0001,1,0.9,0900000,6,11,15,0.733333,0.903726,0.964834,0.987436,中文暗网交易市场,1,5,4.85546,0.971092,0.984113,market_item.xlsx|中文暗网交易市场|seller_raw:436422 || market_item.xlsx|中文暗网交易市场|seller_raw:149940 || market_item.xlsx|中文暗网交易市场|seller_raw:312538,0.984113 || 0.979613 || 0.974753,market_item.xlsx|中文暗网交易市场|seller_raw:121394,market_item.xlsx,中文暗网交易市场,121394,121394,7,7,7,2,0,0,数据资源 || 私人专拍,出售2019年最新一手彩票 棋牌数据4个站5万条 || 博彩老数据47W条白菜价打包 自动发货 || 博彩老数据10个站低价打包 自动发货,出19年一手最新数据 包括 账号 手机号 IP 登录时间 注册时间 余额 4个站5万多条都是刚刚出的 真人 彩票 棋牌 体育 数据保证真实 拍下网站可验 东升 ds166188.com 众发 f99bb.com 信彩 xc832com 杏彩 xingcai168.com 在说一遍数据保证真实 虚拟资源 售出不退 有争议可找管理员解决 || 13年的博彩老数据 10个站的25万条 数据是真的 网址已经变更找不到了 看好再拍 别说是假的骗你 数据包括什么有截图自己看 低价只为引流 再说一遍 老数据售出概不退款,
zh_target_strict_step15_v5_domain_balanced_public_noise_weighted_strong_phase4_seed_mean_thr_0900000_c0001,1,0.9,0900000,6,11,15,0.733333,0.903726,0.964834,0.987436,中文暗网交易市场,2,4,3.908852,0.977213,0.987436,market_item.xlsx|中文暗网交易市场|seller_raw:436422 || market_item.xlsx|中文暗网交易市场|seller_raw:121394 || market_item.xlsx|中文暗网交易市场|seller_raw:157835,0.987436 || 0.979613 || 0.971347,market_item.xlsx|中文暗网交易市场|seller_raw:149940,market_item.xlsx,中文暗网交易市场,149940,149940,2,2,2,1,0,0,数据资源,2020年一季度_博彩数据_9830条_众发娱乐最新脱库带网址可验证 || 博彩数据2019-3月bc数据合集 自动发货,数据格式：账号|手机号码|电子邮箱|Q Q|IP|所在地区|返点|余额 除了电子邮箱和QQ只有少部分数据，其他字段都完整 || 数据可以通过在线验证，在首页点击“免费注册” 在注册页面输入账号，系统提示“用户名已存在”,
zh_target_strict_step15_v5_domain_balanced_public_noise_weighted_strong_phase4_seed_mean_thr_0900000_c0001,1,0.9,0900000,6,11,15,0.733333,0.903726,0.964834,0.987436,中文暗网交易市场,3,4,3.869963,0.967491,0.974753,market_item.xlsx|中文暗网交易市场|seller_raw:121394 || market_item.xlsx|中文暗网交易市场|seller_raw:436422 || market_item.xlsx|中文暗网交易市场|seller_raw:149940,0.974753 || 0.973059 || 0.970456,market_item.xlsx|中文暗网交易市场|seller_raw:312538,market_item.xlsx,中文暗网交易市场,312538,312538,12,12,12,1,0,0,数据资源,19年皇冠综合盘博彩数据 有网址 可验证自动发货 || BC金沙娱乐城 新数据 可验证带网址 自动发货 || 2019年5月东升娱乐彩票数据 有网址 可验证,⑴，数据有3500多条 是2018年末的 ⑵，数据内容:用户名-姓名-qq-手机号-注册日期-MD5等，登录时间，登录设备 ⑶，是皇冠娱乐数据，网址为hg4849.com ⑷，本人不做博彩营销，但尝试拨打两个手机号全部打通并且有微信注册，有效率高 ⑸，适合博彩项目推广使用，他人绕行 ⑹，介绍的够详细了，也有图，购买后概不退货，行内人应该明白，分分钟辩识数据 || ⑴，数据有3000条+ 2018年11月精品数据 ⑵，数据内容:用户名-姓名-qq-手机号-注册日期-MD5等，有图 ⑶，是皇冠娱乐数据，网址为hg...,
zh_target_strict_step15_v5_domain_balanced_public_noise_weighted_strong_phase4_seed_mean_thr_0900000_c0001,1,0.9,0900000,6,11,15,0.733333,0.903726,0.964834,0.987436,中文暗网交易市场,4,4,3.781478,0.94537,0.971347,market_item.xlsx|中文暗网交易市场|seller_raw:149940 || market_item.xlsx|中文暗网交易市场|seller_raw:121394 || market_item.xlsx|中文暗网交易市场|seller_raw:312538,0.971347 || 0.954711 || 0.951695,market_item.xlsx|中文暗网交易市场|seller_raw:157835,market_item.xlsx,中文暗网交易市场,157835,157835,5,5,5,1,0,0,数据资源,黑客技术教程工具.赌博源码.挖矿木马.肉鸡远程.加密解密.想学习黑客技术进来! || 彩票数据 内部导出 || 一手棋牌出款数据,数据总共有9.7万条，全部为后台导出，自动发货带有原网站网址，赔率低的老盘口， 数据带有：手机号码 qq号码 余额 总充值 总提款 姓名 开户银行 银行卡号 开户地址 登陆ip ⚠️注：资料百分百真实有效，因数据有可复制性，不接受任何理由的退款 || 大圣棋牌2018.09-12月玩家取款的支付宝收款账户，有一小部分是邮箱格式，总共12万条，这里是2万条 每条0.15美，2985刀. 没有测试，数据如有假请直接投诉,
zh_target_strict_step15_v5_domain_balanced_public_noise_weighted_strong_phase4_seed_mean_thr_0900000_c0001,1,0.9,0900000,6,11,15,0.733333,0.903726,0.964834,0.987436,中文暗网交易市场,5,3,2.944609,0.981536,0.987436,market_item.xlsx|中文暗网交易市场|seller_raw:149940 || market_item.xlsx|中文暗网交易市场|seller_raw:121394 || market_item.xlsx|中文暗网交易市场|seller_raw:312538,0.987436 || 0.984113 || 0.973059,market_item.xlsx|中文暗网交易市场|seller_raw:436422,market_item.xlsx,中文暗网交易市场,436422,436422,41,41,32,2,0,0,数据资源 || 私人专拍,99万股民数据直接附件给1万个免费测试自动发货 || 理想论坛-专业的股票交流论坛！28万数据！----自动发货 || 星月棋牌带MD5格式7月10日脱裤整站数据383W自动发货,数据格式： 真实姓名 联系方式 所属上级 返点等级 下级人数 QQ 余额 中奖金额 投注金额 盈亏 充值总金额 提现总金额 平台 网址 具体看图 验证网址：www.whruixue.com 数据量：1w个 新手须知：验证就知道真假，把数据里的 手机号 qq号 去注册 就会显示 被占用 无法注册 从而证明 数据来源的真伪 || ID 用户名 真实姓名 联系电话 AG平台标识 状态 最后登录IP 充值额度 余额 所属平台 注册地址 用户等级 详情看图 数据量 34329个----38美金 新手须知：验证就知道真假...,
zh_target_strict_step15_v5_domain_balanced_public_noise_weighted_strong_phase4_seed_mean_thr_0900000_c0001,1,0.9,0900000,6,11,15,0.733333,0.903726,0.964834,0.987436,中文暗网交易市场,6,2,1.865996,0.932998,0.962271,market_item.xlsx|中文暗网交易市场|seller_raw:121394 || market_item.xlsx|中文暗网交易市场|seller_raw:157835,0.962271 || 0.903726,market_item.xlsx|中文暗网交易市场|seller_raw:435064,market_item.xlsx,中文暗网交易市场,435064,435064,16,15,15,1,0,0,数据资源,2019年皇冠彩票数据 有网址 可验证5600多条 || 三个站彩票数据共2万多条打包出 || 3个站彩票数据共4.9万保真低价出,9个配资站精准数据 3.8W条左右 全部带网址 数据保真、不保效果、号码去注册会显示已注册 数据非一手，带名字，手机号等信息 部分数据是裸号 由于数据可复制，付款后即表示交易成功，不支持任何理由退款 || 3个站彩票数据共4.9万 保真低价出 网站1705e.com cp1343vip.com 315099.com 数据精准 适合电销 短信均可 非一手 介意的勿拍 数据保真 拍下自动发货 数据易复制 出售不接受任何理由退款 请各位诚信购买 购买后主动放款的客户 送老数据一份,
zh_target_strict_step15_v5_domain_balanced_public_noise_weighted_strong_phase4_seed_mean_thr_0900000_c0002,2,0.9,0900000,4,6,6,1.0,0.91647,0.948727,0.981221,中文暗网交易市场,1,3,2.870184,0.956728,0.981221,market_item.xlsx|中文暗网交易市场|seller_raw:432530 || market_item.xlsx|中文暗网交易市场|seller_raw:327625 || market_item.xlsx|中文暗网交易市场|seller_raw:253337,0.981221 || 0.972494 || 0.916470,market_item.xlsx|中文暗网交易市场|seller_raw:250456,market_item.xlsx,中文暗网交易市场,250456,250456,7,7,7,2,0,0,虚拟物品 || 技术技能,出人脸验证技术软件带教程工具自动发货 || 菲律宾手持护照加手持白纸15套 || 出手持身份证加正反面7万套,可以过市面上大部分APP刷脸 ZFB VX 等自媒体账号的刷脸认证 有点基础的拍 技术教程 工具都有 拍下不接受 虚拟物品具有复制性 已经售出概不退货 || 资料是17 18 年的 全部高清真实 用他自己开发 虚拟资源已经售出不接受退款 有更大需求也可以私信 拍下自动发货 合作愉快,
zh_target_strict_step15_v5_domain_balanced_public_noise_weighted_strong_phase4_seed_mean_thr_0900000_c0002,2,0.9,0900000,4,6,6,1.0,0.91647,0.948727,0.981221,中文暗网交易市场,2,3,2.869321,0.95644,0.981221,market_item.xlsx|中文暗网交易市场|seller_raw:250456 || market_item.xlsx|中文暗网交易市场|seller_raw:253337 || market_item.xlsx|中文暗网交易市场|seller_raw:327625,0.981221 || 0.945340 || 0.942760,market_item.xlsx|中文暗网交易市场|seller_raw:432530,market_item.xlsx,中文暗网交易市场,432530,432530,6,6,6,2,0,0,虚拟物品 || 数据资源,菲律宾手持护照加手持白纸打包16套 || 国内护照扫描件533张打包 低价 || 1000万名字 加身份证号码地址,全部高清 一套中 有正反面加手持身份证 可以做认证 有需要的拍下 自动发货 拍前有什么不明白可以私信 咨询 每天都在线 每天处理 链接失效的话留言 || 资料全部是高清扫描件 绝对不是市场上泛滥货 有需要的老板下单 每天都会及时处理 拍下自动发货 低价 虚拟物品 不接受我已经有了等理由的退货,
zh_target_strict_step15_v5_domain_balanced_public_noise_weighted_strong_phase4_seed_mean_thr_0900000_c0002,2,0.9,0900000,4,6,6,1.0,0.91647,0.948727,0.981221,中文暗网交易市场,3,3,2.849328,0.949776,0.972494,market_item.xlsx|中文暗网交易市场|seller_raw:250456 || market_item.xlsx|中文暗网交易市场|seller_raw:432530 || market_item.xlsx|中文暗网交易市场|seller_raw:253337,0.972494 || 0.942760 || 0.934075,market_item.xlsx|中文暗网交易市场|seller_raw:327625,market_item.xlsx,中文暗网交易市场,327625,327625,3,3,3,1,0,0,虚拟物品,美国护照加信用卡账单模板模板 || 出营业执照加法人正反1000套 || 出手持白纸279套全部高清,身份证和白纸一起手持加正反面 全部是高清 可用于币圈 自媒体账号认证 用途自己开发就好 拍下请私信 链接失效的话留言我会补发 || 可用于亚马逊开店认证 需要的拍下 拍下自动发货价格优惠,
zh_target_strict_step15_v5_domain_balanced_public_noise_weighted_strong_phase4_seed_mean_thr_0900000_c0002,2,0.9,0900000,4,6,6,1.0,0.91647,0.948727,0.981221,中文暗网交易市场,4,3,2.795885,0.931962,0.94534,market_item.xlsx|中文暗网交易市场|seller_raw:432530 || market_item.xlsx|中文暗网交易市场|seller_raw:327625 || market_item.xlsx|中文暗网交易市场|seller_raw:250456,0.945340 || 0.934075 || 0.916470,market_item.xlsx|中文暗网交易市场|seller_raw:253337,market_item.xlsx,中文暗网交易市场,253337,253337,7,7,7,2,0,0,虚拟物品 || 数据资源,出营业执照加法人正反400套全部高清 || 菲律宾手持护照16套打包出 || 国内护照照片63张低价出,可发 菠菜 六合 网赚 内容无限制 支持测试 墨迹的不要来 到达率牛逼 欢迎有短信需求的大佬前来合作 互惠互利 是我们双方永恒的追求 您给我一次机会 我将是你2019年最牛逼的合作伙伴 再次重申骗测试的别来 || 手持护照加手持白纸 加护照首页 全部高清真实 低价出 拍下自动发货 可以认证国外网站 用途自己开发 需要其他国家的也可以联系,
