signal_uid,data_bucket,source_dataset,source_row_number,seller_uid,source_market_raw,source_seller_raw,source_seller_id_raw,alias_normalized,source_field,contact_type,normalized_value,raw_value,evidence_level,seller_facing_context,product_data_risk_context,direct_identity_eligible,support_only,context,title_snippet,description_snippet
37b3080b6a04e36cf71cb048002289412039914c,zh_target_aux,products_data.csv,123,products_data.csv|__unknown__|seller_id:1897436,__unknown__,,1897436,,description,external_url,acuity.com,acuity.com,bare_domain,1,1,0,1,"渗透目标:acuity.com 数据:全名、地址、出生日期、性别、婚姻状况、子女、电话、RDID风险 线下实体开发工作室,3个空闲开发随时待命。 可快速编写各类数据处理工具、其他任何工具,按条件提取、分析类型、",美国915万保险用户acuity数据库,渗透目标：acuity.com 数据：全名、地址、出生日期、性别、婚姻状况、子女、电话、RDID风险 线下实体开发工作室，3个空闲开发随时待命。 可快速编写各类数据处理工具、其他任何工具，按条件提取、分析类型、文件批量处理、已打的手机号录入等（其他不想干工具也能做，直接提出，能不能做都会给准确答复 不绕圈子），空闲期最快30分钟完成，空闲期最长1.5小时内交单。随时可修BUG和额外加功能，白菜价首单88U超低价格。 全网全球所有在...
e1e3dd88e9ef6ef4733fcd1ffbdb63a811275531,zh_target_aux,products_data.csv,250,products_data.csv|__unknown__|seller_id:1894461,__unknown__,,1894461,,description,external_url,btcr.cc,https://btcr.cc/,external_url,1,1,0,1,",事后可验证,拒绝事后嘴硬。 我们更重视提前规划与挂单思维,而不是临盘追价。 少交易,但每一次出手,都必须有结构、有逻辑、有退路。 每日更新模型主流币种报告和部分山寨币报告 网址:https://btcr.cc/ 社区交流:https://t.me/laoabiweb3/6673",炒币模型主力行为驱动的多维市场解析系统,这是一篇服务帖、介绍帖。如果你不知道怎么炒币，可以加入社区一起进步： 在市场里，真正决定价格的从来不是情绪，而是资金、结构与流动性。 模型的核心目标只有一个：尽可能贴近主力真实意图，在关键位置跟上，而不是追着价格跑。 这不是一个“预测涨跌”的模型，也不是简单的技术指标拼凑。 它是一套围绕主力行为逻辑构建的多维分析系统，专注解决三个核心问题： 主力现在在干什么 接下来最可能走哪几条路 在哪些位置，才值得出手 核心理念：路线优先，而不...
2638495a30e5f5ea150e54f91de28bfd302fbeeb,zh_target_aux,products_data.csv,250,products_data.csv|__unknown__|seller_id:1894461,__unknown__,,1894461,,description,telegram,laoabiweb3,laoabiweb3,telegram_url,1,0,1,0,"追价。 少交易,但每一次出手,都必须有结构、有逻辑、有退路。 每日更新模型主流币种报告和部分山寨币报告 网址:https://btcr.cc/ 社区交流:https://t.me/laoabiweb3/6673",炒币模型主力行为驱动的多维市场解析系统,这是一篇服务帖、介绍帖。如果你不知道怎么炒币，可以加入社区一起进步： 在市场里，真正决定价格的从来不是情绪，而是资金、结构与流动性。 模型的核心目标只有一个：尽可能贴近主力真实意图，在关键位置跟上，而不是追着价格跑。 这不是一个“预测涨跌”的模型，也不是简单的技术指标拼凑。 它是一套围绕主力行为逻辑构建的多维分析系统，专注解决三个核心问题： 主力现在在干什么 接下来最可能走哪几条路 在哪些位置，才值得出手 核心理念：路线优先，而不...
4990b1dd74a5ebc1d8f361d8b1c5c49fb08daa97,zh_target_aux,products_data.csv,306,products_data.csv|__unknown__|seller_id:1895458,__unknown__,,1895458,,description,external_url,178a.cc,178a.cc,bare_domain,0,1,0,1,交易编号:54400 8555.cc澳门新葡京(可验证)40万 售价50$ 交易编号:54401 8567.vip澳门威尼斯人(可验证)11万 售价20$ 交易编号:54402 178a.cc178棋牌(可验证)28万 售价50$ 交易编号:54403 8817.bet澳门银河(可验证)2万3 售价15$ 交易编号:54404 708.cc博彩澳门新葡京(可验证)5.3,4865dd点com一可验证一9万4BC数据菠菜数据博彩数据,4865dd.com元宝娱乐（可验证）9.4万 内容包含：账号|姓名|手机|提款总额|提款次数|充值总额|充值次数|省|市|银行|银行账号|支行|登陆时间|登陆IP|注册来源 验证请登录网址4865dd.com，使用用户名注册验证 详情参考下面图片展示 描述图片数据无遮挡，请自行测试过再下单 MEGA网盘自动发货（MEGA使用需要挂梯子） 另外还有其他同类数据出售，需要的首页搜索交易编号 ---------------------...
bdad91c300dd23d80d43be13d0fae4721b6f8326,zh_target_aux,products_data.csv,306,products_data.csv|__unknown__|seller_id:1895458,__unknown__,,1895458,,description,external_url,4865dd.com,4865dd.com,bare_domain,0,1,0,1,4865dd.com元宝娱乐(可验证)9.4万 内容包含:账号|姓名|手机|提款总额|提款次数|充值总额|充值次数|省|市|银行|银行账号|支行|登陆时间|登陆IP|注册来源 验证请登录网址4865d,4865dd点com一可验证一9万4BC数据菠菜数据博彩数据,4865dd.com元宝娱乐（可验证）9.4万 内容包含：账号|姓名|手机|提款总额|提款次数|充值总额|充值次数|省|市|银行|银行账号|支行|登陆时间|登陆IP|注册来源 验证请登录网址4865dd.com，使用用户名注册验证 详情参考下面图片展示 描述图片数据无遮挡，请自行测试过再下单 MEGA网盘自动发货（MEGA使用需要挂梯子） 另外还有其他同类数据出售，需要的首页搜索交易编号 ---------------------...
644bc29d88f923253711d95ac7d8c0174f84c7d9,zh_target_aux,products_data.csv,306,products_data.csv|__unknown__|seller_id:1895458,__unknown__,,1895458,,description,external_url,708.cc,708.cc,bare_domain,0,1,0,1,0$ 交易编号:54402 178a.cc178棋牌(可验证)28万 售价50$ 交易编号:54403 8817.bet澳门银河(可验证)2万3 售价15$ 交易编号:54404 708.cc博彩澳门新葡京(可验证)5.3万 售价20$ 交易编号:54406,4865dd点com一可验证一9万4BC数据菠菜数据博彩数据,4865dd.com元宝娱乐（可验证）9.4万 内容包含：账号|姓名|手机|提款总额|提款次数|充值总额|充值次数|省|市|银行|银行账号|支行|登陆时间|登陆IP|注册来源 验证请登录网址4865dd.com，使用用户名注册验证 详情参考下面图片展示 描述图片数据无遮挡，请自行测试过再下单 MEGA网盘自动发货（MEGA使用需要挂梯子） 另外还有其他同类数据出售，需要的首页搜索交易编号 ---------------------...
15ba6701c01a3a7d8995b77497db1df8ec823aaf,zh_target_aux,products_data.csv,306,products_data.csv|__unknown__|seller_id:1895458,__unknown__,,1895458,,description,external_url,81866.com,81866.com,bare_domain,0,1,0,1,"A使用需要挂梯子) 另外还有其他同类数据出售,需要的首页搜索交易编号 ------------------------------------------------------ 81866.com永利娱乐城(可验证)11万 售价30$ 交易编号:54399 4865dd.com元宝娱乐(可验证)9.4万 售价30$ 交易编号:54400 8555.cc澳门新葡京(可验证)4",4865dd点com一可验证一9万4BC数据菠菜数据博彩数据,4865dd.com元宝娱乐（可验证）9.4万 内容包含：账号|姓名|手机|提款总额|提款次数|充值总额|充值次数|省|市|银行|银行账号|支行|登陆时间|登陆IP|注册来源 验证请登录网址4865dd.com，使用用户名注册验证 详情参考下面图片展示 描述图片数据无遮挡，请自行测试过再下单 MEGA网盘自动发货（MEGA使用需要挂梯子） 另外还有其他同类数据出售，需要的首页搜索交易编号 ---------------------...
79a32a2cccd5a195988da7ee8792442d6e9ce84d,zh_target_aux,products_data.csv,306,products_data.csv|__unknown__|seller_id:1895458,__unknown__,,1895458,,description,external_url,8555.cc,8555.cc,bare_domain,0,1,0,1,-------- 81866.com永利娱乐城(可验证)11万 售价30$ 交易编号:54399 4865dd.com元宝娱乐(可验证)9.4万 售价30$ 交易编号:54400 8555.cc澳门新葡京(可验证)40万 售价50$ 交易编号:54401 8567.vip澳门威尼斯人(可验证)11万 售价20$ 交易编号:54402 178a.cc178棋牌(可验证)28,4865dd点com一可验证一9万4BC数据菠菜数据博彩数据,4865dd.com元宝娱乐（可验证）9.4万 内容包含：账号|姓名|手机|提款总额|提款次数|充值总额|充值次数|省|市|银行|银行账号|支行|登陆时间|登陆IP|注册来源 验证请登录网址4865dd.com，使用用户名注册验证 详情参考下面图片展示 描述图片数据无遮挡，请自行测试过再下单 MEGA网盘自动发货（MEGA使用需要挂梯子） 另外还有其他同类数据出售，需要的首页搜索交易编号 ---------------------...
63fd2114b9b31d031fde3697bdb78e6fbb65385d,zh_target_aux,products_data.csv,306,products_data.csv|__unknown__|seller_id:1895458,__unknown__,,1895458,,description,external_url,8567.vip,8567.vip,bare_domain,0,1,0,1,交易编号:54399 4865dd.com元宝娱乐(可验证)9.4万 售价30$ 交易编号:54400 8555.cc澳门新葡京(可验证)40万 售价50$ 交易编号:54401 8567.vip澳门威尼斯人(可验证)11万 售价20$ 交易编号:54402 178a.cc178棋牌(可验证)28万 售价50$ 交易编号:54403 8817.bet澳门银河(可验证)2万3,4865dd点com一可验证一9万4BC数据菠菜数据博彩数据,4865dd.com元宝娱乐（可验证）9.4万 内容包含：账号|姓名|手机|提款总额|提款次数|充值总额|充值次数|省|市|银行|银行账号|支行|登陆时间|登陆IP|注册来源 验证请登录网址4865dd.com，使用用户名注册验证 详情参考下面图片展示 描述图片数据无遮挡，请自行测试过再下单 MEGA网盘自动发货（MEGA使用需要挂梯子） 另外还有其他同类数据出售，需要的首页搜索交易编号 ---------------------...
82e4c3ddb75ab2c0a7f385c7176dbf849b4143c5,zh_target_aux,products_data.csv,308,products_data.csv|__unknown__|seller_id:591243,__unknown__,,591243,,description,external_url,95977a.com,https://95977a.com,external_url,0,1,0,1,"可指定任意配资站数据提取,只可提取裸号。支持测试! 目前手里已拿下权限 申宝策略: https://95977b.com https://95977a.com 财盛证券 https://cszq22.cc/ ----------------------- 目前以上都是大型知名站点,做配资都听过 现寻找一手甲方平台实力老板打包! ----",大型股票配资站用户手机号提取可测,可指定任意配资站数据提取，只可提取裸号。支持测试！ 目前手里已拿下权限 申宝策略： https://95977b.com https://95977a.com 财盛证券 https://cszq22.cc/ ----------------------- 目前以上都是大型知名站点，做配资都听过 现寻找一手甲方平台实力老板打包！ ----------------------- 需要验证权限，可随便在他们网站注册手机号留言给我前7位数...
51ede7cb04368b8e23bc2b7942a47df673a26998,zh_target_aux,products_data.csv,308,products_data.csv|__unknown__|seller_id:591243,__unknown__,,591243,,description,external_url,95977b.com,https://95977b.com,external_url,0,1,0,1,"可指定任意配资站数据提取,只可提取裸号。支持测试! 目前手里已拿下权限 申宝策略: https://95977b.com https://95977a.com 财盛证券 https://cszq22.cc/ ----------------------- 目前以上都是大型知名站点,做配资都听过 现寻",大型股票配资站用户手机号提取可测,可指定任意配资站数据提取，只可提取裸号。支持测试！ 目前手里已拿下权限 申宝策略： https://95977b.com https://95977a.com 财盛证券 https://cszq22.cc/ ----------------------- 目前以上都是大型知名站点，做配资都听过 现寻找一手甲方平台实力老板打包！ ----------------------- 需要验证权限，可随便在他们网站注册手机号留言给我前7位数...
d3e04dbd290ff996e476bb87a67e15857f7de234,zh_target_aux,products_data.csv,308,products_data.csv|__unknown__|seller_id:591243,__unknown__,,591243,,description,external_url,cszq22.cc,https://cszq22.cc/,external_url,0,1,0,1,"可指定任意配资站数据提取,只可提取裸号。支持测试! 目前手里已拿下权限 申宝策略: https://95977b.com https://95977a.com 财盛证券 https://cszq22.cc/ ----------------------- 目前以上都是大型知名站点,做配资都听过 现寻找一手甲方平台实力老板打包! ----------------------- 需要验证",大型股票配资站用户手机号提取可测,可指定任意配资站数据提取，只可提取裸号。支持测试！ 目前手里已拿下权限 申宝策略： https://95977b.com https://95977a.com 财盛证券 https://cszq22.cc/ ----------------------- 目前以上都是大型知名站点，做配资都听过 现寻找一手甲方平台实力老板打包！ ----------------------- 需要验证权限，可随便在他们网站注册手机号留言给我前7位数...
bdf1f2476780ef06445ec3f4914f764efaa5d670,zh_target_aux,products_data.csv,342,products_data.csv|__unknown__|seller_id:545730,__unknown__,,545730,,description,crypto_wallet,0x1062a747393198f70f71ec65a582423dba7e5ab3,0x1062a747393198f70f71ec65a582423dba7e5ab3,crypto_wallet,1,0,1,0,"7dca867648091d3eb7af27c630689 (交易所用户钱包,黑产老哥接币的钱包) 2021-02-07 22:24:58转出 898 usdt 到 ↓↓↓↓↓↓ 0x1062a747393198f70f71ec65a582423dba7e5ab3 (交易所资产总钱包,警察从这里知道是哪个交易所,并且要求交易所配合调查,提供该钱包用户key资料,开门,查水表) 区块链记录:0x45e2c2b658b6e7ed5dadc8e0",服一务一洗一白一数一字一货一币一Xmr,这是服务， 这是服务， 这是服务， 承兑xmr（门罗币），溢价15%，不收现金，不限额度，矿场资源，少量多单。无限承兑！ 我的价值就是能把币做干净，走其他路子洗币的，请自行搜索 《中国裁判文书网 》，。 ，-------- 走站内担保 简单点解释一下： 我是把你手里（不管是盗取交易所，诈骗资金盘，项目方跑路得来）的数字货币 BTC ETH USDT TRX 等能够查询区块记录的各种主流数字货币统一换成XMR币，收取服务费用。 不管...
234771ee3d301e308d63caec13ec5b6f0e8be9da,zh_target_aux,products_data.csv,342,products_data.csv|__unknown__|seller_id:545730,__unknown__,,545730,,description,crypto_wallet,0x8c9abb530567dca867648091d3eb7af27c630689,0x8c9abb530567dca867648091d3eb7af27c630689,crypto_wallet,1,0,1,0,"15ffff0ddc4a662327f0ee03d24(打币钱包,可以理解为被盗钱包,或者洗钱者控制的钱包) 2021-02-07 22:15:03转出 898 usdt 到 ↓ 0x8c9abb530567dca867648091d3eb7af27c630689(交易所用户钱包,黑产老哥接币的钱包) 区块链记录:0xeaf5119a3805dbb3683c73f8dc98db5f4ff72891071a2bad2348be9f0a1313",服一务一洗一白一数一字一货一币一Xmr,这是服务， 这是服务， 这是服务， 承兑xmr（门罗币），溢价15%，不收现金，不限额度，矿场资源，少量多单。无限承兑！ 我的价值就是能把币做干净，走其他路子洗币的，请自行搜索 《中国裁判文书网 》，。 ，-------- 走站内担保 简单点解释一下： 我是把你手里（不管是盗取交易所，诈骗资金盘，项目方跑路得来）的数字货币 BTC ETH USDT TRX 等能够查询区块记录的各种主流数字货币统一换成XMR币，收取服务费用。 不管...
8fe16b119897e2dbdada15f5a00f9d20e63d0e31,zh_target_aux,products_data.csv,342,products_data.csv|__unknown__|seller_id:545730,__unknown__,,545730,,description,crypto_wallet,0xb1186300294ad15ffff0ddc4a662327f0ee03d24,0xb1186300294ad15ffff0ddc4a662327f0ee03d24,crypto_wallet,1,0,1,0,"自行google搜索 ""FBI"" ""XMR"" 等关键词 2:一般数字货币(usdt 举例)的追踪方法(区块链透明和不可篡改的基础属性,每个人都可以查询,比查询银行记录方便多了.) 0xb1186300294ad15ffff0ddc4a662327f0ee03d24(打币钱包,可以理解为被盗钱包,或者洗钱者控制的钱包) 2021-02-07 22:15:03转出 898 usdt 到 ↓ 0x8c9abb530567dca867648091d",服一务一洗一白一数一字一货一币一Xmr,这是服务， 这是服务， 这是服务， 承兑xmr（门罗币），溢价15%，不收现金，不限额度，矿场资源，少量多单。无限承兑！ 我的价值就是能把币做干净，走其他路子洗币的，请自行搜索 《中国裁判文书网 》，。 ，-------- 走站内担保 简单点解释一下： 我是把你手里（不管是盗取交易所，诈骗资金盘，项目方跑路得来）的数字货币 BTC ETH USDT TRX 等能够查询区块记录的各种主流数字货币统一换成XMR币，收取服务费用。 不管...
fd41fe3cf7a75da549a448430e7c4d8b2e0300f1,zh_target_aux,products_data.csv,353,products_data.csv|__unknown__|seller_id:612996,__unknown__,,612996,,description,telegram,abc552255,abc552255,telegram_cue,1,0,1,0,最新各国华侨有需要请联系 TG:@abc552255 TG:@abc552255 TG:@abc552255,最新各国华侨有需要请联系,最新各国华侨有需要请联系 TG：@abc552255 TG：@abc552255 TG：@abc552255
389263c2355aa04ff94efcdd963c462a8f99ce00,zh_target_aux,products_data.csv,355,products_data.csv|__unknown__|seller_id:691306,__unknown__,,691306,,description,external_url,www.3044.com,www.3044.com,external_url,0,1,0,1,"本人亲自服务完全不涉及到第三方,博彩综合盘,搭建,包网等服务可以定制,直到满意为止。演示网站 www.3044.com 后端演示回复消息。 搭建5000RMB 可以自行注册域名 也可以这边帮忙注册(拍11份) 包网视情况而定 游戏API接口例如AG 比例8.0 即800元可以买1万分(相当于博彩站",专业博彩网站服务搭建包网运营游戏API接口,本人亲自服务完全不涉及到第三方，博彩综合盘，搭建，包网等服务可以定制，直到满意为止。演示网站 www.3044.com 后端演示回复消息。 搭建5000RMB 可以自行注册域名 也可以这边帮忙注册（拍11份） 包网视情况而定 游戏API接口例如AG 比例8.0 即800元可以买1万分（相当于博彩站1万元）
3353732869a6ca81089c94c9cfa4c533c97a6117,zh_target_aux,products_data.csv,401,products_data.csv|__unknown__|seller_id:600103,__unknown__,,600103,,description,bat,3353452,3353452,bat_cue,1,1,0,1,"62数据云控号(12-17年自带好友80+):包首登 —————————————————————————————————— 此业务唯一: 【水木工作室】 TG:@SMGZS 蝙蝠:3353452 需要先款,走USDT,骗子别来,墨迹的别来。",微信成品号商家房东行业可定制62数据云控号,—————————————————————————————————— 微信成品号 粉丝类型（行业粉）1： 装修，家具，建材，环保，塑料，安防，健身，冻品，苗木，手机，丝网，广告，电梯。 弱电，木材，玻璃，电池，五金，陶瓷，煤炭，石油，船舶，石材，门窗，物流，灯饰，钢材，光伏，宠物等... 粉丝类型（房东粉）2： 58微聊房东、电聊房东~ 粉丝类型（商家粉）3： 美容、美发、餐饮、文具、打印等~ 另接各种行业定制~~~ 【可扫 IP...
5a1162fb5a6d0531bfae1f05bfa598d2484e41f6,zh_target_aux,products_data.csv,401,products_data.csv|__unknown__|seller_id:600103,__unknown__,,600103,,description,telegram,smgzs,SMGZS,telegram_cue,1,1,0,1,"———————— 62数据云控号(12-17年自带好友80+):包首登 —————————————————————————————————— 此业务唯一: 【水木工作室】 TG:@SMGZS 蝙蝠:3353452 需要先款,走USDT,骗子别来,墨迹的别来。",微信成品号商家房东行业可定制62数据云控号,—————————————————————————————————— 微信成品号 粉丝类型（行业粉）1： 装修，家具，建材，环保，塑料，安防，健身，冻品，苗木，手机，丝网，广告，电梯。 弱电，木材，玻璃，电池，五金，陶瓷，煤炭，石油，船舶，石材，门窗，物流，灯饰，钢材，光伏，宠物等... 粉丝类型（房东粉）2： 58微聊房东、电聊房东~ 粉丝类型（商家粉）3： 美容、美发、餐饮、文具、打印等~ 另接各种行业定制~~~ 【可扫 IP...
65eed03f865694eaafaa331f8c9912f3b14df209,zh_target_aux,products_data.csv,416,products_data.csv|__unknown__|seller_id:70,__unknown__,,70,,description,external_url,evisa.mfa.gov.ua,http://evisa.mfa.gov.ua,external_url,0,0,0,1,"外籍专业人员全程陪同办理,该外籍人士,仅限于英语,乌克兰语,俄语,匈牙利语会话沟通。所有赴乌克兰的旅行费用自理。 备注:中国公民可以在线申办乌克兰电子签证,需要在乌外交部网站注册(http://evisa.mfa.gov.ua)。根据该网站给出的最新消息,因为疫情原因,电子签证可能最早8月才会开放申请,当然也有可能根据疫情发展态势再往后延。该网站是英文界面,并按规定提交相应电子版材料。 相关签证申请将在",最快2月内_最低3万欧元起_办理欧盟成员国永居和国籍,基础单价是1000欧元=1200美元，拍下相应份数即可 匈牙利是欧盟和申根成员国，只需要提供英文拼写的姓名，出生日期，性别，大头照，电子版英文签名文本照片即可办理。可完美漂白您的身份，聪慧如你，懂得自然懂！！！ 目前有20`30个名额可以办理，需本人亲赴乌克兰，由乌克兰当地身份中转，至匈牙利驻乌克兰领事馆办理相应手续，停留期短，即可拿到所有身份文件，办理时无需当地语言要求，只需要本人会简单英语会话即可或有会英语的亲朋好友陪同一起前...
bd3aa7fb8493cc460bc7861b513cbaffd7caadb5,zh_target_aux,products_data.csv,416,products_data.csv|__unknown__|seller_id:70,__unknown__,,70,,description,external_url,popfilesxuru7lsr.onion,popfilesxuru7lsr.onion,bare_domain,0,0,0,1,"年龄需相仿),性别; 1.3高清签名样本电子照片(于白色A4纸张上用黑色水笔/钢笔手写英文签名后拍照,要求签名清晰可辨认,切记仅限英文签名); 1.4上述照片请上传至http://popfilesxuru7lsr.onion/,并保存下可供下载照片的链接,类似http://popfilesxuru7lsr.onion/~你的ID/你的照片.jpg 2.将上述所需信息连同照片上传之后的下载链接私信发送至",最快2月内_最低3万欧元起_办理欧盟成员国永居和国籍,基础单价是1000欧元=1200美元，拍下相应份数即可 匈牙利是欧盟和申根成员国，只需要提供英文拼写的姓名，出生日期，性别，大头照，电子版英文签名文本照片即可办理。可完美漂白您的身份，聪慧如你，懂得自然懂！！！ 目前有20`30个名额可以办理，需本人亲赴乌克兰，由乌克兰当地身份中转，至匈牙利驻乌克兰领事馆办理相应手续，停留期短，即可拿到所有身份文件，办理时无需当地语言要求，只需要本人会简单英语会话即可或有会英语的亲朋好友陪同一起前...
429b8786478a3a916a437bc35aab40637bd1d0c5,zh_target_aux,products_data.csv,416,products_data.csv|__unknown__|seller_id:70,__unknown__,,70,,description,external_url,popfilesxuru7lsr.onion/~你的id/你的照片.jpg,popfilesxuru7lsr.onion/~你的ID/你的照片.jpg,bare_domain,0,0,0,1,"后拍照,要求签名清晰可辨认,切记仅限英文签名); 1.4上述照片请上传至http://popfilesxuru7lsr.onion/,并保存下可供下载照片的链接,类似http://popfilesxuru7lsr.onion/~你的ID/你的照片.jpg 2.将上述所需信息连同照片上传之后的下载链接私信发送至本人站内信 3.收到后,我将确认并处理您的订单并确认个人信息,照片正确无误 4.一次确认结束后,即可进行文书工作,告知站外的",最快2月内_最低3万欧元起_办理欧盟成员国永居和国籍,基础单价是1000欧元=1200美元，拍下相应份数即可 匈牙利是欧盟和申根成员国，只需要提供英文拼写的姓名，出生日期，性别，大头照，电子版英文签名文本照片即可办理。可完美漂白您的身份，聪慧如你，懂得自然懂！！！ 目前有20`30个名额可以办理，需本人亲赴乌克兰，由乌克兰当地身份中转，至匈牙利驻乌克兰领事馆办理相应手续，停留期短，即可拿到所有身份文件，办理时无需当地语言要求，只需要本人会简单英语会话即可或有会英语的亲朋好友陪同一起前...
03bd544f41a34bf6f918bc473d1fc2e1906b7b31,zh_target_aux,products_data.csv,418,products_data.csv|__unknown__|seller_id:70,__unknown__,,70,,description,external_url,popfilesxuru7lsr.onion,popfilesxuru7lsr.onion,bare_domain,1,0,0,1,"照,要求签名清晰可辨认,切记中英文签名); 1.3高清护照首页信息页电子照片,若是不在本土,则需拍10份,并截图下单当时的BTC:USD价值; 1.4上述照片请上传至http://popfilesxuru7lsr.onion/,并保存下可供下载照片的链接,类似http://popfilesxuru7lsr.onion/~你的ID/你的照片.JPG 成功案例如下链接所示,自行打开即可 http://po",美国绿卡最快半年就能拿到_便宜到家_5万美金,"办理费用是35万人民币/人=5万美元/人,办理费用赴美签约后按合约流程支付 目前疫情期间美国边境管控，所以担保金予以区分本土和本土以外两类 1.若客户本人已在美国本土，则本站诚意押金1000美金,拍1份，在订单处理完毕后，客户需要在7天内赶到指定律所签约办理，若逾期不能赶到，则我方会通过站方确认押金到账，作为对客户失信的惩罚。若客户在7天内及时赶到并完成签约，则在拿到绿卡后，请于一个工作日内来本站确认诚意金收货 2.若客户本人不在..."
fd0331f0df70ab2a153cf52f1fa6c2a3f713bb97,zh_target_aux,products_data.csv,418,products_data.csv|__unknown__|seller_id:70,__unknown__,,70,,description,external_url,popfilesxuru7lsr.onion/~urbusy/usagreencard.jpg,http://popfilesxuru7lsr.onion/~urbusy/usagreencard.jpg,external_url,1,0,0,1,"lsr.onion/,并保存下可供下载照片的链接,类似http://popfilesxuru7lsr.onion/~你的ID/你的照片.JPG 成功案例如下链接所示,自行打开即可 http://popfilesxuru7lsr.onion/~urbusy/usagreencard.jpg 2.将上述所需信息连同照片上传之后的下载链接私信发送至本人站内信 3.收到后,我将跟你确认你的个人信息,照片正确无误 4.一次确认结束后,即可通过站内信告知站外TG(纸飞机),用",美国绿卡最快半年就能拿到_便宜到家_5万美金,"办理费用是35万人民币/人=5万美元/人,办理费用赴美签约后按合约流程支付 目前疫情期间美国边境管控，所以担保金予以区分本土和本土以外两类 1.若客户本人已在美国本土，则本站诚意押金1000美金,拍1份，在订单处理完毕后，客户需要在7天内赶到指定律所签约办理，若逾期不能赶到，则我方会通过站方确认押金到账，作为对客户失信的惩罚。若客户在7天内及时赶到并完成签约，则在拿到绿卡后，请于一个工作日内来本站确认诚意金收货 2.若客户本人不在..."
ae7f53f0ef418d38db0c0afae21a1bc67b053f16,zh_target_aux,products_data.csv,418,products_data.csv|__unknown__|seller_id:70,__unknown__,,70,,description,external_url,popfilesxuru7lsr.onion/~你的id/你的照片.jpg,popfilesxuru7lsr.onion/~你的ID/你的照片.JPG,bare_domain,1,0,0,1,"需拍10份,并截图下单当时的BTC:USD价值; 1.4上述照片请上传至http://popfilesxuru7lsr.onion/,并保存下可供下载照片的链接,类似http://popfilesxuru7lsr.onion/~你的ID/你的照片.JPG 成功案例如下链接所示,自行打开即可 http://popfilesxuru7lsr.onion/~urbusy/usagreencard.jpg 2.将上述所需信息连同照片上传之",美国绿卡最快半年就能拿到_便宜到家_5万美金,"办理费用是35万人民币/人=5万美元/人,办理费用赴美签约后按合约流程支付 目前疫情期间美国边境管控，所以担保金予以区分本土和本土以外两类 1.若客户本人已在美国本土，则本站诚意押金1000美金,拍1份，在订单处理完毕后，客户需要在7天内赶到指定律所签约办理，若逾期不能赶到，则我方会通过站方确认押金到账，作为对客户失信的惩罚。若客户在7天内及时赶到并完成签约，则在拿到绿卡后，请于一个工作日内来本站确认诚意金收货 2.若客户本人不在..."
